Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior,Current Price,Shares Outstanding,Status
N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,43.94,36.10311750599521,6.5507693,7.129665,0.18351999,0.24065,0.07854,0.20954001,22.967,44119431454.4,45770362880.0,24.680328,3.96,6.796,27.909,6735000064.0,N/A,1640000000.0,1236000000.0,4.17,-0.008,-0.056,1748000000.0,5.965,2719000064.0,2.683,21.116,1960999936.0,1.126,0.00281,0.91947997,4703658.0,3.76,0.018099999,3953999.0,150.55,293055008,N/A
N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,46.982,-10.917553191489361,0.70333374,1.8455244,-0.06412,-0.012309999,-0.00331,-0.14336,58.794,7370937999.999999,10350440448.0,17.770563,13.3,0.988,18.352,10480000000.0,N/A,564000000.0,-672000000.0,-3.76,N/A,-0.027,1358000000.0,7.563,2600000000.0,1.605,22.243,31000000.0,2.449,0.01085,0.86274004,12213880.0,1.7,0.0875,14365673.0,41.05,179560000,N/A
N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,140.968,29.063763608087093,7.509077,38.63552,0.26306,0.30743,0.22073999,1.4725,24.537,2865636602019.84,2964716257280.0,25.847857,2.76,7.769,22.871,381623009280.0,N/A,129629003776.0,100389003264.0,6.43,0.007,-0.043,67150000128.0,4.379,104590000128.0,1.037,4.837,110563000320.0,1.264,0.052199997,0.57555,94308265.0,1.66,0.0062,108782648.0,186.88,15334099968,N/A
N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,924.059,46.96142433234421,5.13697,34.897465,0.11016,0.28294,0.07705,0.56244,30.775,279466578603.51996,338180145152.0,13.133609,2.29,6.216,12.949,54402998272.0,N/A,26115999744.0,5951000064.0,3.37,4.964,0.007,18069000192.0,10.232,74358996992.0,0.936,4.535,22685999104.0,0.593,0.00105,0.72693,14477382.0,2.6,0.0082,13120924.0,158.26,1765869952,N/A
N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,37.664,32.47040498442368,4.496395,4.672106,0.13961,0.15405,0.060900003,0.14762,23.181,181321629896.96002,190635491328.0,20.278212,2.8,4.727,18.387,40326000640.0,N/A,10368000000.0,5608000000.0,3.21,-0.067,0.022,6650999808.0,3.823,14705000448.0,1.596,22.309,7143000064.0,0.751,0.0053100004,0.76975,14478910.0,2.74,0.0084,14481157.0,104.23,1739629952,N/A
N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,518.268,9.183856502242152,0.1492385,4.293501,0.01636,0.02684,0.05625,0.58857,137.709,11825315840.0,25927772160.0,7.9073358,1.02,0.327,6.392,79237701632.0,N/A,4056199936.0,1295000064.0,2.23,-0.17,0.004,212000000.0,0.367,14239399936.0,0.843,4.77,2659500032.0,0.347,0.14939,0.73627,13605939.0,4.88,0.0325,12573988.0,20.48,577408000,N/A
N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,11.298,27.73617407071623,2.978726,7.0928774,0.10889,0.13683,0.12888,0.27381,102.561,192347070312.32,191955451904.0,23.33562,3.31,2.973,17.022,64573603840.0,N/A,11277210624.0,7031262208.0,11.03,0.101,-0.001,5125646848.0,8.152,3158580992.0,1.26,43.132,9298353152.0,1.207,0.0014399999,0.73929,6883380.0,2.27,0.011,7066252.0,305.93,628729024,N/A
N/A,N/A,act,N/A,N/A,N/A,N/A,N/A,15.828,7.589108910891089,4.1419544,1.0257611,0.55869997,0.75069,0.091029994,0.14439,7.279,4822572720.0,5067067904.0,7.7035174,-5.41,4.352,N/A,1164322944.0,N/A,N/A,650510976.0,4.04,-0.065,0.038,624292992.0,3.969,746089984.0,1.062,29.89,699995008.0,0.558,0.81667,0.18459,895452.0,4.69,0.0317,1019248.0,30.66,157292000,N/A
N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,26.429,46.24976076555024,10.860899,14.161686,0.24082,0.368,0.15724,0.32367,43.762,216522880000.0,214066642944.0,23.714918,2.01,10.738,28.207,19936000000.0,N/A,7589000192.0,4800999936.0,10.45,-0.498,0.113,6819999744.0,15.223,4086000128.0,1.049,34.128,6783000064.0,1.281,0.00209,0.86204004,6866382.0,2.33,0.0154,5690991.0,483.31,448000000,N/A
N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,23.034,54.932084309133494,11.122384,3.302034,0.20454,0.18160999,0.03418,0.06007,21.045,116392657643.52,124926730240.0,30.422827,-11.58,11.938,25.662,10464721920.0,N/A,4868165120.0,2140418048.0,4.27,-0.683,-0.338,2363812096.0,4.764,8119099904.0,1.575,71.035,4276432896.0,1.144,0.00236,0.9186,10204460.0,3.21,0.020599999,8471009.0,234.56,496216992,N/A
